n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
15,0.01,0.808,12,10493,30.358395,8.084295,1.9467320551869568e-202,3.2389727934200586e-198,0.6521739130434783,0.0030349013657056147
15,0.01,0.808,12,15003,19.486477,7.3867254,1.4299141375218752e-84,1.189545571004448e-80,0.30434782608695654,0.0020232675771370764
15,0.01,0.808,11,6932,17.74933,4.589175,1.7442209378138957e-70,2.9020347963347596e-66,0.42028985507246375,0.021232522009321596
15,0.01,0.808,9,8163,16.849907,5.2766967,1.0508086099903288e-63,1.748335365301909e-59,0.25287356321839083,0.007318348144276007
15,0.01,0.808,9,8578,16.555868,4.0569563,1.4523055799699412e-61,1.2081730119769941e-57,0.4367816091954023,0.035023523261892314
15,0.01,0.808,11,4345,14.065856,4.8600388,6.15734040955473e-45,5.12229148670858e-41,0.2318840579710145,0.009321595028482652
15,0.01,0.808,5,5647,13.266219,3.1324096,3.6345911831884914e-40,6.047232810589011e-36,0.2712765957446808,0.03532008830022075
15,0.01,0.808,12,14561,13.114842,25.888721,2.7074517120784973e-39,1.5015527195187344e-35,0.08695652173913043,0.0
15,0.01,0.808,11,6306,12.974362,25.888721,1.7101266474497068e-38,9.484362386756073e-35,0.08695652173913043,0.0
15,0.01,0.808,10,8978,12.7342615,25.843277,3.814361648085892e-37,6.346334910085306e-33,0.08433734939759036,0.0
15,0.01,0.808,10,2106,12.062548,3.1326501,1.6654971501956085e-33,1.3855270792477267e-29,0.46987951807228917,0.081377151799687
15,0.01,0.808,11,12696,11.943384,7.435004,7.030314790380984e-33,2.9242594370589705e-29,0.08695652173913043,0.0005178663904712584
15,0.01,0.808,10,6346,11.841982,7.498406,2.3678949951413542e-32,1.313234564305395e-28,0.08433734939759036,0.0005216484089723526
15,0.01,0.808,8,1973,11.426056,3.4818544,3.0986447044151056e-30,5.1555250592058525e-26,0.2553191489361702,0.026757607555089193
15,0.01,0.808,2,385,11.065779,4.4311876,1.838595202150699e-28,3.0590546973383327e-24,0.10476190476190476,0.005027932960893855
15,0.01,0.808,7,10897,10.619599,2.710101,2.415961391013139e-26,4.0196765623676604e-22,0.23595505617977527,0.041163556531284305
15,0.01,0.808,9,3910,10.20296,5.839883,1.9231931772430346e-24,1.066602936098987e-20,0.08045977011494253,0.0015682174594877157
15,0.01,0.808,8,3150,10.143037,6.9584723,3.558619262512093e-24,2.2766930302546683e-20,0.06382978723404255,0.0005246589716684155
15,0.01,0.808,8,188,10.079,25.162603,6.841847067720484e-24,2.2766930302546683e-20,0.05319148936170213,0.0
15,0.01,0.808,8,9838,10.079,25.162603,6.841847067720484e-24,2.2766930302546683e-20,0.05319148936170213,0.0
15,0.01,0.808,8,8857,10.079,25.162603,6.841847067720484e-24,2.2766930302546683e-20,0.05319148936170213,0.0
