n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
25,0.12,0.6768,2,7696,20.331846,4.823845,6.722433073489362e-92,1.11847841476716e-87,0.3194444444444444,0.015186915887850467
25,0.12,0.6768,2,5480,19.924385,4.1195188,2.5010239204633742e-88,2.080601799433481e-84,0.3993055555555556,0.0397196261682243
25,0.12,0.6768,2,10439,17.947783,2.0557787,4.994550710376361e-72,2.76997782397473e-68,0.8680555555555556,0.4147196261682243
25,0.12,0.6768,2,8554,17.890148,2.5051389,1.4073577743202342e-71,5.853904662285014e-68,0.6388888888888888,0.17289719626168223
25,0.12,0.6768,2,6229,17.778938,3.5781426,1.0291189943221407e-70,3.4244963655063556e-67,0.3784722222222222,0.04964953271028037
25,0.12,0.6768,3,7865,16.377314,3.4688675,2.777445585328464e-60,4.6211139648694985e-56,0.43506493506493504,0.056338028169014086
25,0.12,0.6768,3,8138,15.727185,4.9014544,9.849356042068853e-56,8.193679291397078e-52,0.2077922077922078,0.008125677139761646
25,0.12,0.6768,2,840,15.622209,2.7572439,5.139427569714676e-55,1.4251632650818796e-51,0.4131944444444444,0.084696261682243
25,0.12,0.6768,3,8085,15.2609625,4.3106165,1.3918013637107181e-52,7.718930363139642e-49,0.2532467532467532,0.01733477789815818
25,0.12,0.6768,3,7117,15.186305,4.88532,4.358011695165293e-52,1.8127149646040038e-48,0.2012987012987013,0.00866738894907909
25,0.12,0.6768,0,6932,15.054149,2.0795786,3.242469445306471e-51,5.394820663100906e-47,0.42905027932960893,0.1339366515837104
25,0.12,0.6768,1,531,14.5619755,2.9600463,4.902072287419532e-48,8.156067871808617e-44,0.26395173453996984,0.04338070306656694
25,0.12,0.6768,2,12017,14.274801,2.815794,3.1418055646098542e-46,7.467622997711251e-43,0.3402777777777778,0.06600467289719626
25,0.12,0.6768,3,8255,14.217288,3.0959742,7.15737619471567e-46,2.3816885025535864e-42,0.3961038961038961,0.0628385698808234
25,0.12,0.6768,2,6480,14.011074,4.5379286,1.3337242084243858e-44,2.773812922470616e-41,0.16319444444444445,0.008761682242990653
25,0.12,0.6768,0,14510,13.864493,1.9639869,1.039570625995674e-43,8.648188037658012e-40,0.4424581005586592,0.17737556561085974
25,0.12,0.6768,2,3945,13.756017,2.4677505,4.686427767881479e-43,8.66364280022356e-40,0.3819444444444444,0.09170560747663552
25,0.12,0.6768,2,13463,13.281487,4.4354415,2.9644649804854997e-40,4.932276834531775e-37,0.14583333333333334,0.007593457943925234
25,0.12,0.6768,3,2550,13.209407,5.585657,7.74326625672028e-40,2.1472077329885335e-36,0.12337662337662338,0.0027085590465872156
25,0.12,0.6768,2,10702,13.172533,2.738877,1.2628905907703241e-39,1.9101794226578774e-36,0.2847222222222222,0.051985981308411214
25,0.12,0.6768,3,1687,12.886483,3.1922874,5.363441460919031e-38,1.2748134146681548e-34,0.2857142857142857,0.03737811484290358
25,0.12,0.6768,2,11981,12.881705,2.8763247,5.706095348472541e-38,7.911501200657178e-35,0.2743055555555556,0.0514018691588785
25,0.12,0.6768,2,13937,12.867098,3.5838728,6.894397062756628e-38,8.823767563857291e-35,0.19444444444444445,0.02219626168224299
25,0.12,0.6768,2,8807,12.75584,2.6771455,2.8923947407132987e-37,3.437404549713419e-34,0.2777777777777778,0.053154205607476634
25,0.12,0.6768,2,6568,12.501428,2.9407458,7.332239499846222e-36,8.13292005322943e-33,0.2326388888888889,0.037383177570093455
25,0.12,0.6768,2,6195,12.336885,3.3094497,5.733113951211732e-35,5.9617218700163e-32,0.1875,0.0227803738317757
25,0.12,0.6768,2,7919,12.287154,2.2992928,1.0617827519773524e-34,1.0391730251411287e-31,0.3090277777777778,0.06950934579439252
25,0.12,0.6768,2,11515,12.21259,2.8195531,2.662754750031539e-34,2.461272973945819e-31,0.23958333333333334,0.04205607476635514
25,0.12,0.6768,0,558,12.028141,1.911343,2.527892075008596e-33,1.401968944799767e-29,0.3195530726256983,0.10678733031674208
25,0.12,0.6768,2,6332,11.997313,3.0748365,3.6702307111474935e-33,3.213963082740631e-30,0.19444444444444445,0.026869158878504672
25,0.12,0.6768,2,15111,11.990513,2.6348503,3.984302094229313e-33,3.314540912189365e-30,0.2465277777777778,0.04614485981308411
25,0.12,0.6768,2,3851,11.857851,2.4214544,1.9593982555861954e-32,1.4818394625655962e-29,0.2951388888888889,0.07009345794392523
25,0.12,0.6768,0,863,11.695139,1.4720864,1.349660816917116e-31,5.613914167966744e-28,0.4212290502793296,0.19095022624434388
25,0.12,0.6768,2,6372,11.692616,1.7835749,1.3903555670522822e-31,1.0057711271572119e-28,0.4965277777777778,0.20210280373831777
25,0.12,0.6768,3,4728,11.644176,2.2624283,2.456850126561226e-31,5.10963405071571e-28,0.5844155844155844,0.21289274106175515
25,0.12,0.6768,2,1186,11.537592,2.8874826,8.52788482040441e-31,5.819670781557813e-28,0.19791666666666666,0.030957943925233645
25,0.12,0.6768,2,2364,11.535434,3.214291,8.74454679282037e-31,5.819670781557813e-28,0.1701388888888889,0.02161214953271028
25,0.12,0.6768,2,1191,11.335989,3.0268009,8.70434397373805e-30,5.5701105782712954e-27,0.18055555555555555,0.026285046728971962
25,0.12,0.6768,3,13685,11.252149,3.8211741,2.2601791253755149e-29,4.178317809777535e-26,0.16233766233766234,0.014084507042253521
25,0.12,0.6768,3,14420,11.221573,3.8503795,3.195360188000326e-29,5.316440280794942e-26,0.14935064935064934,0.011375947995666305
25,0.12,0.6768,2,6905,11.217555,3.6415348,3.3438818610312464e-29,2.0605743112532546e-26,0.13541666666666666,0.012850467289719626
25,0.12,0.6768,2,7025,11.084945,2.7098782,1.4844204642459005e-28,8.820638458615462e-26,0.19791666666666666,0.03387850467289719
25,0.12,0.6768,2,5600,11.034901,2.3168256,2.593375770456368e-28,1.487882278236312e-25,0.2708333333333333,0.06658878504672897
25,0.12,0.6768,3,1311,10.788379,2.8613212,3.9061968203701804e-27,5.908300245210824e-24,0.2727272727272727,0.04929577464788732
25,0.12,0.6768,2,1025,10.788036,2.7419214,3.920780609110507e-27,2.174464925812687e-24,0.2013888888888889,0.037967289719626166
25,0.12,0.6768,0,1453,10.74772,2.1961796,6.074478498627899e-27,2.0213434652034198e-23,0.2011173184357542,0.046153846153846156
25,0.12,0.6768,2,605,10.63455,2.322876,2.05819828530495e-26,1.104654937771089e-23,0.22569444444444445,0.04848130841121495
25,0.12,0.6768,1,4136,10.631719,2.8609402,2.1216686518344252e-26,1.7650161514610581e-22,0.1478129713423831,0.02393418100224383
25,0.12,0.6768,3,8941,10.515827,2.4758239,7.303683562130984e-26,1.012655725889461e-22,0.37012987012987014,0.09642470205850487
25,0.12,0.6768,3,6254,10.459715,1.8100545,1.3225261249320083e-25,1.6926299743552888e-22,0.6688311688311688,0.29956663055254606
25,0.12,0.6768,0,11026,10.407141,1.4352283,2.3002751104544827e-25,6.008796934862336e-22,0.35977653631284917,0.16561085972850678
25,0.12,0.6768,0,2447,10.398146,2.8915496,2.5280429465101787e-25,6.008796934862336e-22,0.15865921787709497,0.028054298642533938
25,0.12,0.6768,2,1501,10.317062,7.091752,5.900084201869385e-25,2.974715180324328e-22,0.06597222222222222,0.0005841121495327102
25,0.12,0.6768,2,4899,10.267523,5.277925,9.870713427591013e-25,4.830262647301744e-22,0.0763888888888889,0.002336448598130841
25,0.12,0.6768,2,10355,10.165502,1.3971282,2.826628037621674e-24,1.343698208284269e-21,0.5625,0.2885514018691589
25,0.12,0.6768,2,10213,10.151808,2.6397715,3.2528252994795973e-24,1.4675840879293486e-21,0.1736111111111111,0.030957943925233645
25,0.12,0.6768,2,13650,10.151484,3.3058586,3.2636501534671173e-24,1.4675840879293486e-21,0.11805555555555555,0.012266355140186916
25,0.12,0.6768,2,6984,10.145202,2.0157843,3.4805872741912736e-24,1.5239476596840633e-21,0.28125,0.08119158878504673
25,0.12,0.6768,2,9714,10.123023,3.9508076,4.367153297878601e-24,1.8630947838488245e-21,0.09722222222222222,0.007009345794392523
25,0.12,0.6768,2,8373,10.087629,2.7474985,6.266432619566212e-24,2.606522648108566e-21,0.14583333333333334,0.02102803738317757
25,0.12,0.6768,0,3094,10.064662,1.3115739,7.915900476857764e-24,1.6463094016744933e-20,0.4301675977653631,0.22714932126696832
25,0.12,0.6768,2,791,10.043125,2.6253417,9.850246965755305e-24,3.9972782686887014e-21,0.17708333333333334,0.03329439252336448
25,0.12,0.6768,2,796,9.967712,3.9758706,2.110338882301935e-23,8.359956743747522e-21,0.09027777777777778,0.005841121495327103
25,0.12,0.6768,0,5001,9.9240265,1.3607899,3.2728219885283745e-23,5.44532122451351e-20,0.32849162011173183,0.1420814479638009
25,0.12,0.6768,2,12220,9.789289,25.226528,1.2517183047316463e-22,4.733202080482984e-20,0.05555555555555555,0.0
25,0.12,0.6768,0,12571,9.771889,1.7398536,1.486551022195139e-22,2.2484759915711565e-19,0.24804469273743016,0.08868778280542987
25,0.12,0.6768,2,7129,9.752426,2.5078547,1.8011162212940922e-22,6.659327042198023e-20,0.18055555555555555,0.036799065420560745
25,0.12,0.6768,1,13431,9.717468,2.2632933,2.54019649042707e-22,1.408792973590853e-18,0.19004524886877827,0.054599850411368736
25,0.12,0.6768,2,5977,9.709032,3.3489578,2.7594512882786813e-22,9.980815333561022e-20,0.1076388888888889,0.011098130841121495
25,0.12,0.6768,2,13762,9.664989,1.65232,4.246621241556444e-22,1.5033039195109812e-19,0.3958333333333333,0.16179906542056074
25,0.12,0.6768,3,9076,9.615718,3.729522,6.862876385918723e-22,8.156038379208266e-19,0.11688311688311688,0.009750812567713976
25,0.12,0.6768,2,12060,9.577354,2.0622432,9.956207560393042e-22,3.451070445621238e-19,0.23958333333333334,0.06542056074766354
25,0.12,0.6768,3,7667,9.568636,5.077609,1.0832566703176161e-21,1.1797107316100599e-18,0.07142857142857142,0.0021668472372697724
25,0.12,0.6768,3,5584,9.563858,2.1686146,1.1344735969323812e-21,1.1797107316100599e-18,0.3246753246753247,0.08342361863488625
25,0.12,0.6768,2,10133,9.491355,2.032635,2.2805003640631618e-21,7.743462256588345e-19,0.2847222222222222,0.09462616822429906
25,0.12,0.6768,3,8012,9.452425,1.9026719,3.3106967568137414e-21,3.2401983905804136e-18,0.5064935064935064,0.19772481040086673
25,0.12,0.6768,0,10091,9.448687,1.1947569,3.431096534566125e-21,4.122054262609984e-18,0.394413407821229,0.21176470588235294
25,0.12,0.6768,0,1118,9.447552,1.3267499,3.468491385775921e-21,4.122054262609984e-18,0.3418994413407821,0.1665158371040724
25,0.12,0.6768,1,14047,9.441454,2.8316221,3.676426047883246e-21,1.529209414617036e-17,0.12066365007541478,0.02019446522064323
25,0.12,0.6768,0,5789,9.366894,1.38336,7.469827239370199e-21,7.767686600540085e-18,0.3005586592178771,0.1321266968325792
25,0.12,0.6768,2,10685,9.35826,1.5356107,8.106067989362343e-21,2.644485474647268e-18,0.3784722222222222,0.15070093457943926
25,0.12,0.6768,2,8592,9.355705,1.3296587,8.304375184156826e-21,2.65708065988464e-18,0.5451388888888888,0.286214953271028
25,0.12,0.6768,2,3427,9.3487835,1.340399,8.866197075927682e-21,2.7833167348921654e-18,0.4756944444444444,0.21495327102803738
25,0.12,0.6768,1,10299,9.331975,2.295662,1.0391640442728196e-20,3.457922273722235e-17,0.15535444947209653,0.0381451009723261
25,0.12,0.6768,3,16232,9.173957,25.231575,4.559674164276906e-20,4.214658819179953e-17,0.045454545454545456,0.0
25,0.12,0.6768,1,13816,9.163798,1.9043995,5.0102129906103077e-20,1.3893320622962383e-16,0.18401206636500755,0.055347793567688854
25,0.12,0.6768,3,5537,9.1571455,7.0451055,5.3288376754641647e-20,4.666379012861725e-17,0.05194805194805195,0.0005417118093174431
25,0.12,0.6768,2,13448,9.096421,1.8768859,9.335725611794638e-20,2.876440791278503e-17,0.2569444444444444,0.08060747663551401
25,0.12,0.6768,2,15641,9.073092,3.2086515,1.1568645711584287e-19,3.4996204972607163e-17,0.09722222222222222,0.010514018691588784
25,0.12,0.6768,3,14237,8.915751,1.7408212,4.845210160957922e-19,4.0307303329008956e-16,0.45454545454545453,0.1673889490790899
25,0.12,0.6768,0,13480,8.907277,1.3751945,5.230128505533945e-19,4.834382115281876e-16,0.3128491620111732,0.15384615384615385
25,0.12,0.6768,1,9132,8.877692,2.9136584,6.82615431875022e-19,1.4196694444420769e-15,0.10407239819004525,0.016454749439042633
25,0.12,0.6768,2,8643,8.8724985,1.2988095,7.152257904741298e-19,2.124986911055102e-16,0.5347222222222222,0.3072429906542056
25,0.12,0.6768,1,15388,8.863277,2.1349132,7.769583125798069e-19,1.4363369338558696e-15,0.14328808446455504,0.035153328347045626
25,0.12,0.6768,0,11470,8.850008,1.2155392,8.751277713466273e-19,7.663355715613255e-16,0.33631284916201115,0.17194570135746606
25,0.12,0.6768,0,7342,8.732496,1.0709393,2.4911268114334538e-18,1.883971267664991e-15,0.3877094972067039,0.2153846153846154
25,0.12,0.6768,1,4636,8.6857605,1.2198659,3.762163269785289e-18,4.814990190975973e-15,0.43137254901960786,0.26925953627524307
25,0.12,0.6768,2,1298,8.63107,2.2469804,6.078051537425884e-18,1.743562439305032e-15,0.1701388888888889,0.04088785046728972
25,0.12,0.6768,1,12137,8.61511,1.2871528,6.987444743299548e-18,8.304078974215563e-15,0.28054298642533937,0.12490650710545999
25,0.12,0.6768,2,8991,8.611809,1.5542958,7.191687800645766e-18,2.028055959782106e-15,0.2951388888888889,0.10689252336448599
25,0.12,0.6768,0,5454,8.543898,1.3844206,1.2976857067950976e-17,8.636357915862733e-15,0.26256983240223464,0.11764705882352941
25,0.12,0.6768,3,971,8.54261,4.41909,1.31223948389427e-17,1.0396685968110887e-14,0.07142857142857142,0.003791982665222102
25,0.12,0.6768,3,14883,8.5302305,3.793508,1.4605677009061608e-17,1.1045875185307592e-14,0.07792207792207792,0.004875406283856988
25,0.12,0.6768,0,13903,8.442475,0.82703876,3.1068720794552063e-17,1.9145236169620637e-14,0.5039106145251396,0.31493212669683257
25,0.12,0.6768,2,12842,8.418,3.185643,3.829641496356265e-17,1.0619595869395922e-14,0.08680555555555555,0.009929906542056074
