n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
25,0.23,0.3511,1,6491,29.971962,5.723817,2.277000721225476e-197,3.788473799974947e-193,0.5896739130434783,0.02022058823529412
25,0.23,0.3511,2,4894,25.87088,4.6140804,1.416792331487161e-147,2.3572590811283386e-143,0.6960352422907489,0.07219402143260012
25,0.23,0.3511,2,6041,25.6875,4.496349,1.612370388335539e-145,1.3413309260563347e-141,0.6035242290748899,0.04568527918781726
25,0.23,0.3511,2,14286,24.037878,3.9985223,1.1177911072630526e-127,6.1992694808808895e-124,0.7092511013215859,0.10152284263959391
25,0.23,0.3511,1,5280,20.94559,3.9951499,2.0583864338316622e-97,1.7123716743045596e-93,0.3804347826086957,0.028799019607843136
25,0.23,0.3511,1,10518,19.918491,5.118605,2.813349184516948e-88,1.5602834577330993e-84,0.2826086956521739,0.00980392156862745
25,0.23,0.3511,1,7085,19.027365,2.1177018,1.0121636560271471e-80,4.210094727244918e-77,0.8505434782608695,0.4185049019607843
25,0.23,0.3511,1,6902,18.601046,3.0699418,3.1510072544885002e-77,1.0485291740035933e-73,0.4320652173913043,0.06862745098039216
25,0.23,0.3511,1,13326,18.196205,4.8605347,5.530965870452707e-74,1.361143956191414e-70,0.25,0.011029411764705883
25,0.23,0.3511,1,4730,18.1943,1.3719671,5.726654461678025e-74,1.361143956191414e-70,0.9809782608695652,0.8412990196078431
25,0.23,0.3511,1,13650,17.872416,2.2707596,1.9343463220145292e-71,4.022956763209717e-68,0.6603260869565217,0.20526960784313725
25,0.23,0.3511,2,9275,17.71689,3.2236745,3.1061514714034404e-70,1.292003704530261e-66,0.4889867841409692,0.08178228990411732
25,0.23,0.3511,1,5577,17.59684,1.653693,2.604603004561401e-69,4.815042754432509e-66,0.9429347826086957,0.6881127450980392
25,0.23,0.3511,1,988,17.377182,1.6764061,1.2284210519419086e-67,2.0438469462209475e-64,0.8695652173913043,0.5772058823529411
25,0.23,0.3511,1,11236,17.271452,7.025078,7.717630297578682e-67,1.167326662646492e-63,0.1875,0.001838235294117647
25,0.23,0.3511,1,13917,16.764582,2.4817095,4.431217290413751e-63,6.143882773158665e-60,0.49728260869565216,0.12683823529411764
25,0.23,0.3511,2,7097,16.752077,2.8788137,5.468375939098582e-63,1.8196567774944442e-59,0.4933920704845815,0.09362662154540327
25,0.23,0.3511,1,8640,15.908268,1.4342265,5.552865209221929e-57,6.599183667931033e-54,0.907608695652174,0.6501225490196079
25,0.23,0.3511,1,16528,15.891027,2.7383013,7.31192843972681e-57,8.110391025344977e-54,0.3804347826086957,0.0741421568627451
25,0.23,0.3511,1,6580,15.876287,3.0587132,9.249354742077974e-57,9.618172762418333e-54,0.32608695652173914,0.052083333333333336
25,0.23,0.3511,0,4365,15.701158,2.9321961,1.4850687450761434e-55,1.2354286890288437e-51,0.45693950177935944,0.0907563025210084
25,0.23,0.3511,0,5140,15.55353,2.665205,1.5057345784023684e-54,8.350803971819534e-51,0.5238434163701068,0.16302521008403362
25,0.23,0.3511,1,11440,15.419691,3.1600478,1.2067956220313786e-53,1.181097974079887e-50,0.2907608695652174,0.041666666666666664
25,0.23,0.3511,2,1202,15.380784,3.4804235,2.2026309985578567e-53,6.1078957590009365e-50,0.31718061674008813,0.04060913705583756
25,0.23,0.3511,2,14161,15.211824,2.2888987,2.9520107745990512e-52,7.016507895397001e-49,0.6519823788546255,0.21658206429780033
25,0.23,0.3511,2,6826,15.133536,2.2617874,9.732229626477493e-52,2.0240604565666566e-48,0.6299559471365639,0.19571347997743938
25,0.23,0.3511,1,8443,14.752035,3.6785898,2.985247496315885e-49,2.7593637690946494e-46,0.21195652173913043,0.018995098039215685
25,0.23,0.3511,0,1945,14.630982,1.3898877,1.7819544186941386e-48,5.929631523646616e-45,0.7807829181494662,0.4890756302521008
25,0.23,0.3511,1,13473,14.542114,1.5053496,6.553706467730547e-48,5.738977274215833e-45,0.8288043478260869,0.49387254901960786
25,0.23,0.3511,2,675,14.239955,2.286146,5.176072626298545e-46,9.568832928483909e-43,0.5682819383259912,0.17653694303440495
25,0.23,0.3511,1,13466,14.204764,2.287546,8.559038556716918e-46,6.472967432120731e-43,0.39402173913043476,0.10110294117647059
