n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
50,0.12,0.4167,1,13650,21.90658,5.5904613,2.248469716362262e-106,3.741003914083532e-102,0.33178654292343385,0.010197578075207138
50,0.12,0.4167,1,10133,20.993225,3.3809075,7.563669630821244e-98,6.292216765880193e-94,0.5011600928074246,0.082855321861058
50,0.12,0.4167,1,8613,20.155333,2.2672281,2.416257976858664e-90,1.340056673965815e-86,0.7587006960556845,0.29636711281070743
50,0.12,0.4167,1,3561,18.951359,2.3785126,4.303299109611291e-80,1.7899572646428164e-76,0.6241299303944315,0.1752708731676227
50,0.12,0.4167,1,601,18.901201,2.486798,1.1148336703253468e-79,3.709720521374624e-76,0.5754060324825986,0.14659018483110262
50,0.12,0.4167,1,8685,18.76807,5.053142,1.3780107768781943e-78,3.8212238842832326e-75,0.25754060324825984,0.009560229445506692
50,0.12,0.4167,1,15106,17.41716,5.3079386,6.113772575227331e-68,1.4531564015233191e-64,0.22041763341067286,0.0076481835564053535
50,0.12,0.4167,1,7415,16.81145,3.0194056,2.0119022823261187e-63,4.1842537716677455e-60,0.37819025522041766,0.07074569789674952
50,0.12,0.4167,1,1818,16.80062,4.554568,2.4150797537926187e-63,4.464677438177954e-60,0.2273781902552204,0.012746972594008922
50,0.12,0.4167,1,1569,16.70274,2.885482,1.251818142800866e-62,2.082775025992081e-59,0.3503480278422274,0.05608667941363926
50,0.12,0.4167,1,13352,16.0385,3.1503735,6.879605206416867e-58,1.0405715584033076e-54,0.308584686774942,0.04652644996813257
50,0.12,0.4167,1,3094,16.02613,4.069447,8.394906355068282e-58,1.1639537661302174e-54,0.2482598607888631,0.024219247928616953
50,0.12,0.4167,1,1970,15.221093,2.284342,2.5621234403248377e-52,3.2791238307788195e-49,0.44779582366589327,0.1312938177182919
50,0.12,0.4167,1,6480,14.977444,3.6296113,1.031078647785616e-50,1.225363324418363e-47,0.2273781902552204,0.023581899298916506
50,0.12,0.4167,0,6308,14.07885,2.7683022,5.1236792567557657e-45,5.683185031593495e-42,0.4894837476099426,0.12296983758700696
50,0.12,0.4167,1,12515,14.009309,4.008284,1.3672894843941942e-44,1.4218101525844126e-41,0.18329466357308585,0.015296367112810707
50,0.12,0.4167,0,11510,13.324487,1.3380953,1.6677534268917756e-40,1.6322400892132566e-37,0.82855321861058,0.5406032482598608
50,0.12,0.4167,1,4533,13.024367,7.872443,8.893486460817218e-39,8.220545985282048e-36,0.10904872389791183,0.0006373486297004461
50,0.12,0.4167,0,13937,12.887317,3.7037463,5.305815343375424e-38,4.6462187201621215e-35,0.35691523263224983,0.037122969837587005
50,0.12,0.4167,1,6372,12.842096,4.1893783,9.525911714462294e-38,7.924605955261182e-35,0.13921113689095127,0.0082855321861058
50,0.12,0.4167,0,1184,12.725027,1.9320621,4.293278068752583e-37,3.4015028813288324e-34,0.5576800509878904,0.2296983758700696
50,0.12,0.4167,1,14373,12.511216,1.7204489,6.482420632026254e-36,4.902477930711491e-33,0.5220417633410673,0.24155513065646908
50,0.12,0.4167,0,8550,12.397234,3.2739687,2.705015978781072e-35,1.956785037172151e-32,0.35181644359464626,0.04408352668213457
50,0.12,0.4167,0,12385,12.3771925,2.3212426,3.472814130400469e-35,2.407528395900125e-32,0.4506054811982154,0.12296983758700696
50,0.12,0.4167,1,6799,12.358863,3.4444268,4.362821164956355e-35,2.9035447417017535e-32,0.17633410672853828,0.022944550669216062
50,0.12,0.4167,0,4148,12.176324,3.017706,4.155945528064933e-34,2.659485449844014e-31,0.3645634161886552,0.060324825986078884
50,0.12,0.4167,1,4333,12.095975,2.803266,1.1091791376064609e-33,6.835008330183814e-31,0.20185614849187936,0.03441682600382409
50,0.12,0.4167,1,8777,11.945943,2.1964889,6.81728730301818e-33,4.050929505272017e-30,0.29698375870069604,0.08349267049075844
50,0.12,0.4167,1,7714,11.812366,3.0482886,3.36947680714385e-32,1.93315017645722e-29,0.18329466357308585,0.029318036966220522
50,0.12,0.4167,0,9818,11.623488,1.9357138,3.1308714428955995e-31,1.7363813022298994e-28,0.48820905035054174,0.17865429234338748
50,0.12,0.4167,1,4301,11.573379,1.9678174,5.622390447072735e-31,3.01759136317407e-28,0.29698375870069604,0.08540471637985979
50,0.12,0.4167,0,13914,11.551846,1.7567679,7.225209185799822e-31,3.7566572010417946e-28,0.5258126195028681,0.2296983758700696
50,0.12,0.4167,1,635,11.503642,3.3207786,1.2646340167254134e-30,6.3760547788719485e-28,0.14849187935034802,0.017845761631612493
50,0.12,0.4167,1,8578,11.142476,2.0865614,7.79220287049456e-29,3.81313739292025e-26,0.308584686774942,0.10197578075207138
50,0.12,0.4167,1,4501,11.136861,5.0062847,8.299316640537218e-29,3.945258007578807e-26,0.09048723897911833,0.0025493945188017845
