n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
15,0.12,0.6099,2,5480,19.99408,4.0329847,6.2013413265312716e-89,1.031779169908273e-84,0.40186915887850466,0.04288266825491364
15,0.12,0.6099,2,8554,18.70103,2.6822083,4.855673362139751e-78,4.039434669964059e-74,0.6199376947040498,0.16676593210244192
15,0.12,0.6099,2,10439,17.565857,1.99433,4.498570294929564e-69,2.494907085567936e-65,0.8286604361370716,0.406789755807028
15,0.12,0.6099,4,1627,17.451319,6.457657,3.363759054477471e-68,5.596622314839616e-64,0.22033898305084745,0.002575991756826378
15,0.12,0.6099,2,7696,17.003342,4.144268,7.756845165311433e-65,3.22645974651129e-61,0.2554517133956386,0.01786777843954735
15,0.12,0.6099,2,6229,16.829275,3.4454684,1.4891392543788695e-63,4.9552597828711263e-60,0.34579439252336447,0.048838594401429423
15,0.12,0.6099,3,8255,15.3281,3.5953481,4.9628774964585965e-53,8.257235578607812e-49,0.4778761061946903,0.06730259671436142
15,0.12,0.6099,3,7865,14.977247,3.4319038,1.0341227135258088e-50,8.602866853821203e-47,0.45132743362831856,0.0598834128245893
15,0.12,0.6099,3,8085,14.911487,4.607817,2.775032453700419e-50,1.5390329988222523e-46,0.26548672566371684,0.01695813460519343
15,0.12,0.6099,2,1186,14.243326,3.315869,4.932238615475974e-46,1.3677097680714875e-42,0.2336448598130841,0.0273972602739726
15,0.12,0.6099,3,5537,14.194946,26.529894,9.846173590167034e-46,4.0955159048299775e-42,0.10619469026548672,0.0
15,0.12,0.6099,2,840,14.1891365,2.5778148,1.0696720805343336e-45,2.542457725132892e-42,0.34890965732087226,0.07325789160214413
15,0.12,0.6099,2,3851,14.091848,2.6237793,4.2625740146151196e-45,8.865088306895795e-42,0.3177570093457944,0.05955926146515783
15,0.12,0.6099,0,6932,14.086948,2.0919797,4.568789127991688e-45,7.60155135115257e-41,0.3994053518334985,0.12916246215943492
15,0.12,0.6099,4,7276,13.867709,4.765944,9.940050801720169e-44,8.269128261951008e-40,0.2542372881355932,0.010819165378670788
15,0.12,0.6099,2,5600,13.808348,2.6885855,2.269791196640486e-43,4.1960873255227115e-40,0.308411214953271,0.05955926146515783
15,0.12,0.6099,2,10702,13.715554,2.8433142,8.193817090773783e-43,1.3632872875629421e-39,0.27414330218068533,0.04586063132817153
15,0.12,0.6099,2,12017,13.423976,2.5853612,4.375895378259353e-41,6.618740663952646e-38,0.3177570093457944,0.06789755807027993
15,0.12,0.6099,2,3945,13.3541975,2.2703087,1.119586026152377e-40,1.5523060252602707e-37,0.37694704049844235,0.09767718880285885
15,0.12,0.6099,4,8162,13.096954,5.0412264,3.427355725090896e-39,1.9008114851354106e-35,0.2033898305084746,0.0072127769191138585
15,0.12,0.6099,3,14558,13.032392,5.2889977,8.005822402892864e-39,2.6640174627866294e-35,0.1415929203539823,0.0042395336512983575
15,0.12,0.6099,3,1687,12.962248,3.5062106,2.0029137925569707e-38,5.55407994676048e-35,0.3185840707964602,0.03815580286168521
15,0.12,0.6099,1,13431,12.952831,2.509563,2.2644426513686678e-38,3.7675796833471893e-34,0.2751004016064257,0.06391478029294274
15,0.12,0.6099,0,558,12.740768,2.2501922,3.5092080853714267e-37,2.9193102062204897e-33,0.30525272547076315,0.08274470232088799
15,0.12,0.6099,2,6480,12.5857525,4.0288734,2.5292206556626732e-36,3.23701332837812e-33,0.14641744548286603,0.01072066706372841
15,0.12,0.6099,2,13463,12.287104,4.026977,1.0624430259988321e-34,1.2626376476120407e-31,0.13707165109034267,0.009529481834425254
15,0.12,0.6099,0,14510,12.155353,1.7847685,5.372936319986704e-34,2.9798304830646258e-30,0.4053518334985134,0.17457114026236126
15,0.12,0.6099,4,15841,11.971263,4.141624,5.0257512404039464e-33,2.0904612284460213e-29,0.288135593220339,0.021638330757341576
15,0.12,0.6099,3,8138,11.84787,3.8394747,2.2073137542271446e-32,5.246469463261605e-29,0.22123893805309736,0.02066772655007949
15,0.12,0.6099,4,11998,11.778466,3.2399344,5.040204483415086e-32,1.6771784439012041e-28,0.6949152542372882,0.15713549716640907
15,0.12,0.6099,2,6332,11.742637,3.2140281,7.704625445499304e-32,8.545970544147827e-29,0.17133956386292834,0.022036926742108397
15,0.12,0.6099,1,531,11.648402,2.1123087,2.3380226393078753e-31,1.9450010336402213e-27,0.26506024096385544,0.07123834886817576
